name_primary,artist_id,country_relevance_score,is_country_core,is_country_broad,source_seed,norm_name,hot_country_number_one,hot_country_number_one_matched_name,country_hall_of_fame,country_hall_of_fame_matched_name,billboard_best_country_singers,billboard_best_country_singers_matched_name,in_any_reference_list,reference_list_count,reference_list_hits
Jeffrey Steele,artist_000120,0.95,1.0,1.0,Category:American country singer-songwriters,jeffrey steele,False,,False,,False,,False,0,
Sam Outlaw,artist_000121,0.95,1.0,1.0,Category:American country singer-songwriters,sam outlaw,False,,False,,False,,False,0,
John Rich,artist_000123,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee|Category:Country musicians from Texas,john rich,False,,False,,False,,False,0,
Rex Allen,artist_000125,0.95,1.0,1.0,Category:American country singer-songwriters,rex allen,False,,False,,False,,False,0,
Holly Dunn,artist_000127,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Texas,holly dunn,False,,False,,False,,False,0,
Bernie Leadon,artist_000128,0.95,1.0,1.0,Category:American country singer-songwriters,bernie leadon,False,,False,,False,,False,0,
Kellie Coffey,artist_000129,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Oklahoma,kellie coffey,False,,False,,False,,False,0,
Skeets McDonald,artist_000130,0.95,1.0,1.0,Category:American country singer-songwriters,skeets mcdonald,False,,False,,False,,False,0,
Anita Cochran,artist_000131,0.95,1.0,1.0,Category:American country singer-songwriters,anita cochran,False,,False,,False,,False,0,
Jelly Roll,artist_000132,0.95,1.0,1.0,Category:American country singer-songwriters,jelly roll,False,,False,,False,,False,0,
Ryan Adams,artist_000134,0.95,1.0,1.0,Category:American country singer-songwriters,ryan adams,False,,False,,False,,False,0,
Brett Eldredge,artist_000135,0.95,1.0,1.0,Category:American country singer-songwriters,brett eldredge,False,,False,,False,,False,0,
Gregg Allman,artist_000137,0.95,1.0,1.0,Category:American country singer-songwriters,gregg allman,False,,False,,False,,False,0,
Jennette McCurdy,artist_000138,0.95,1.0,1.0,Category:American country singer-songwriters,jennette mccurdy,False,,False,,False,,False,0,
