wikipedia_url,wp_page_title,wp_birth_date,wp_birth_year,wp_birth_name,wp_stage_name,wp_birth_place_raw,wp_aliases,wp_genres_raw,wp_categories
https://en.wikipedia.org/wiki/Flatt_and_Scruggs,Flatt and Scruggs,,,,,,,Bluegrass|| country,1948 establishments in the United States|1969 disestablishments in the United States|American bluegrass music groups|American country music groups|Grammy Award winners|Musical groups established in 1948|Musical groups disestablished in 1969|Country Music Hall of Fame inductees
https://en.wikipedia.org/wiki/Poor_Man%27s_Poison,Poor Man's Poison,,,,,,,Folk|Americana|Bluegrass|Folk rock|Folk punk|Dark Country,Musical groups from California|American folk music groups|American bluegrass music groups|Musical groups established in 2009|2009 establishments in California
https://en.wikipedia.org/wiki/The_Wagoneers,The Wagoneers,,,,,,,Country|Rockabilly|Honkytonk|Americana|Alternative Country,"Country music groups from Texas|Musical groups from Austin, Texas"
https://en.wikipedia.org/wiki/Adam_Barry,Adam Barry,1981-04-04,1981.0,,,"4 April 1981 Worcester , England",,Americana|| Folk,"1981 births|Living people|English folk musicians|English multi-instrumentalists|English keyboardists|Musicians from Worcester, England|Americana musicians"
https://en.wikipedia.org/wiki/Tigirlily_Gold,Tigirlily Gold,,,,,,Tigirlily,Country,American country music duos|Female musical duos|Monument Records artists|Musical groups from North Dakota|Musical groups established in 2014|Sibling musical duos
https://en.wikipedia.org/wiki/Cary_Morin,Cary Morin,,,,,"Cary Lewis Morin Billings, Montana , United States",,Rock|Native Americana|folk|blues|reggae|R&B|Cajun,"Living people|Native American musicians|Native American singers|American male guitarists|American male singer-songwriters|Charles M. Russell High School alumni|Crow people|Musicians from Billings, Montana"
https://en.wikipedia.org/wiki/Jamestown_Revival,Jamestown Revival,,,,,,,Folk|folk rock|Americana|rock,Rock music groups from Texas|Musical groups established in 2011|American rock music duos|Musical duos from Texas|2011 establishments in Texas
https://en.wikipedia.org/wiki/Appalatin,Appalatin,,,,,,,Appalachian|/|Latin,American Latin musical groups|Americana musicians|Musicians from Appalachia|Musical groups from Kentucky
https://en.wikipedia.org/wiki/Sweet_Honey_in_the_Rock,Sweet Honey in the Rock,,,,,,,Gospel|| blues|| spoken word,African-American musical groups|American gospel musical groups|American vocal groups|Professional a cappella groups|American folk music groups|American political music groups|Women's music|Grammy Award winners|Musical groups established in 1973|Flying Fish Records artists|Rykodisc artists|African-American girl groups
https://en.wikipedia.org/wiki/Thomas_Wayne,Thomas Wayne,,,,,,,,DC Comics superheroes|Batman characters|Characters created by Bill Finger|Characters created by Bob Kane|Characters created by Gardner Fox|Characters created by Jerry Robinson|Comics characters introduced in 1939|DC Comics businesspeople|DC Comics film characters|DC Comics male characters|Fictional American people in comics|Fictional business executives|Fictional murdered people|Deceased fictional characters|Fictional deaths by firearm|Fictional philanthropists|Fictional medical doctors|Fictional socialites|Fictional surgeons
https://en.wikipedia.org/wiki/Claudia_Schmidt,Claudia Schmidt,,,,,,,,Human name disambiguation pages
https://en.wikipedia.org/wiki/David_James,David James,,,,,,,,Human name disambiguation pages
https://en.wikipedia.org/wiki/Evan_Stewart,Evan Stewart,,,,,,,,Human name disambiguation pages
https://en.wikipedia.org/wiki/Daniel_Johnson,Daniel Johnson,,,,,,,,Human name disambiguation pages
https://en.wikipedia.org/wiki/Katie_Laurie,Katie Laurie,1986-05-29,1986.0,Katie Ann McVean,Katie McVean,"29 May 1986 Oxford , Oxfordshire , Great Britain",,,1986 births|Living people|Australian female equestrians|New Zealand female equestrians|Olympic equestrians for New Zealand|Equestrians at the 2008 Summer Olympics|Equestrians at the 2020 Summer Olympics|Sportspeople from Oxford|21st-century New Zealand sportswomen|21st-century Australian sportswomen|Australian equestrian biography stubs|New Zealand sportspeople stubs|Equestrian biography stubs
https://en.wikipedia.org/wiki/Jim_Hendricks,Jim Hendricks,1949-10-02,1949.0,,,United States,,,"1946 births|2018 deaths|American male television actors|American male stage actors|American television personalities|American male film actors|Horror hosts|American screen actor, 1940s birth stubs|American theatre actor, 20th-century birth stubs"
https://en.wikipedia.org/wiki/Charlie_Moore,Charlie Moore,,,,,,,,Human name disambiguation pages
https://en.wikipedia.org/wiki/Gibson_Brothers,Gibson Brothers,,,,,,,Disco,Eurodisco groups|French musical groups|Island Records artists|Musical groups established in 1976|1976 establishments in France|Black French musicians|Family musical groups|Sibling musical trios
https://en.wikipedia.org/wiki/The_Rowans,The Rowans,,,,,,,Country rock|folk rock|progressive bluegrass,Living people|Musical groups from Boston|Sibling musical trios|American country rock groups|Progressive bluegrass music groups|American folk rock groups
