seed_title,source_seed,wikidata_qid
James Reams,artist_universe_full_targeted,
Jamestown Revival,artist_universe_full_targeted,Q20684229
Jamie O'Neal,artist_universe_full_targeted,Q6147308
Jana Jae,artist_universe_full_targeted,
Jaren Johnston,artist_universe_full_targeted,
Jason McCoy,artist_universe_full_targeted,Q6163072
Jason Nelson,artist_universe_full_targeted,Q135510287
Jason Sellers,artist_universe_full_targeted,
Jason Whitehorn,artist_universe_full_targeted,Q6163742
Jeff Parker,artist_universe_full_targeted,Q11776213
Jeff Wood,artist_universe_full_targeted,
Jenny Don't And The Spurs,artist_universe_full_targeted,Q119730000
Jeremy Butler,artist_universe_full_targeted,Q106643039
Jerry Thompson,artist_universe_full_targeted,Q108928921
Jessie Baker,artist_universe_full_targeted,
Jim Collins,artist_universe_full_targeted,
Jim Crawford,artist_universe_full_targeted,Q1100783
Jim Ford,artist_universe_full_targeted,
Jim Hendricks,artist_universe_full_targeted,Q16107342
Jim Hurst,artist_universe_full_targeted,Q21278780
Jimmie Selph,artist_universe_full_targeted,Q575242
Jimmy & Johnny,artist_universe_full_targeted,Q1689480
Jimmy Velvit,artist_universe_full_targeted,
Joe Barnhill,artist_universe_full_targeted,Q6208483
John Arter,artist_universe_full_targeted,Q135400652
John Craigie,artist_universe_full_targeted,Q20815161
John Duncan,artist_universe_full_targeted,Q1699853
John Fahey,artist_universe_full_targeted,Q1700032
John Landry,artist_universe_full_targeted,Q6243938
John McNicholl,artist_universe_full_targeted,Q16732396
John Richards,artist_universe_full_targeted,Q1694155
John Stoddart,artist_universe_full_targeted,Q104649159
John Wheeler,artist_universe_full_targeted,Q371163
Johnnie Lee Wills,artist_universe_full_targeted,
Johnny Dollar,artist_universe_full_targeted,
Johnny and the Hurricanes,artist_universe_full_targeted,Q1101386
Jon Spencer Blues Explosion,artist_universe_full_targeted,Q1417601
Jonathan Jackson,artist_universe_full_targeted,Q1219137
Jonathan Singleton,artist_universe_full_targeted,
Jonny Fritz,artist_universe_full_targeted,Q18686216
Jordan McIntosh,artist_universe_full_targeted,Q20684757
Joseph Hall,artist_universe_full_targeted,Q1707167
Joseph Murphy,artist_universe_full_targeted,Q1208247
Josh Graves,artist_universe_full_targeted,
Josh Turknett,artist_universe_full_targeted,Q115695601
Joy Gardner,artist_universe_full_targeted,Q15459518
Julie Reeves,artist_universe_full_targeted,
Justin McBride,artist_universe_full_targeted,
Kansas,artist_universe_full_targeted,Q1558
Karen Harding,artist_universe_full_targeted,Q18686587
Karen Peck and New River,artist_universe_full_targeted,Q1729270
Karen Staley,artist_universe_full_targeted,Q13561995
Karma to Burn,artist_universe_full_targeted,
Kate Mann,artist_universe_full_targeted,Q6375621
Katie McVean,artist_universe_full_targeted,Q1475453
Keith Urban,artist_universe_full_targeted,Q315547
Kenny Vernon,artist_universe_full_targeted,
Kenny Winfree,artist_universe_full_targeted,
King Dude,artist_universe_full_targeted,
Kira Isabella,artist_universe_full_targeted,Q6414757
LATAM Cargo Colombia,artist_universe_full_targeted,Q537223
Lady A,artist_universe_full_targeted,Q389870
Larry Hall,artist_universe_full_targeted,Q125393969
Larry Robinson,artist_universe_full_targeted,
Larry Vuckovich,artist_universe_full_targeted,Q1565227
Lasse Stefanz,artist_universe_full_targeted,Q742028
Laura Cortese,artist_universe_full_targeted,Q16728216
Laurel and Hardy,artist_universe_full_targeted,Q33497
Lauren-Ashley,artist_universe_full_targeted,
Lavender Country,artist_universe_full_targeted,Q16960029
Leahy,artist_universe_full_targeted,Q6509272
Leen,artist_universe_full_targeted,Q2885136
Leftover Salmon,artist_universe_full_targeted,Q12858787
Leftöver Crack,artist_universe_full_targeted,Q1753290
Leon Payne,artist_universe_full_targeted,Q1226480
Levi Parham,artist_universe_full_targeted,Q22279571
Lex Rijger,artist_universe_full_targeted,Q107549374
Libby Johnson,artist_universe_full_targeted,Q20657078
Lilli Lewis,artist_universe_full_targeted,Q105561797
Lillian Axe,artist_universe_full_targeted,Q1171184
Lit,artist_universe_full_targeted,Q15663256
Little Big Town,artist_universe_full_targeted,Q607317
Logan Brill,artist_universe_full_targeted,Q16731589
Logan Mize,artist_universe_full_targeted,Q16731591
Lonestar,artist_universe_full_targeted,Q1869293
Los Tigres del Norte,artist_universe_full_targeted,Q1467310
Louis Johnson,artist_universe_full_targeted,Q1871770
Lucille Starr,artist_universe_full_targeted,Q432881
Luke O'Shea,artist_universe_full_targeted,Q101129416
Lynyrd Skynyrd,artist_universe_full_targeted,Q158462
Lȧȧz Rockit,artist_universe_full_targeted,Q1430842
Maddie & Tae,artist_universe_full_targeted,Q18157530
Marisa Anderson,artist_universe_full_targeted,Q114240373
Mark Germino,artist_universe_full_targeted,Q13405414
Mark O'Connor's Hot Swing Trio,artist_universe_full_targeted,Q127225335
Mark Stuart,artist_universe_full_targeted,Q11781295
Martha Carson,artist_universe_full_targeted,Q1675722
