artist_id,name_primary,chart_artist_name,artist_resolution,song_name,song_key,best_chart_year,best_chart_pos,all_chart_years,all_chart_positions,source_titles
artist_000615,Rodney Atkins,Rodney Atkins,existing_artist,These Are My People,these are my people,2007,1,2007,1,2007 in country music
artist_000615,Rodney Atkins,Rodney Atkins,existing_artist,Watching You,watching you,2007,1,2007,1,2007 in country music
artist_001503,Rodney Crowell,Rodney Crowell,existing_artist,Now That We're Alone,now that we re alone,1991,17,1991,17,1991 in country music
artist_001792,Roger Miller,Roger Miller,existing_artist,Chug-a-Lug,chug a lug,1964,3,1964,3,1964 in country music
artist_001792,Roger Miller,Roger Miller,existing_artist,Dang Me,dang me,1964,3,1964,3,1964 in country music
artist_001519,Ronnie Dunn,Ronnie Dunn,existing_artist,Bleed Red,bleed red,2011,10,2011,10,2011 in country music
artist_001519,Ronnie Dunn,Ronnie Dunn,existing_artist,Cost of Livin',cost of livin,2011,19,2011,19,2011 in country music
artist_000048,Ronnie Milsap,Ronnie Milsap,existing_artist,Are You Lovin' Me Like I'm Lovin' You,are you lovin me like i m lovin you,1991,3,1991,3,1991 in country music
artist_000048,Ronnie Milsap,Ronnie Milsap,existing_artist,Pure Love,pure love,1974,2,1974,2,1974 in country music
artist_000048,Ronnie Milsap,Ronnie Milsap,existing_artist,Since I Don't Have You,since i don t have you,1991,6,1991,6,1991 in country music
artist_000133,Roy Acuff,Roy Acuff and His Smoky Mountain Boys,existing_artist,(Our Own) Jole Blon,jole blon,1947,17,1947,17,1947 in country music
artist_000133,Roy Acuff,Roy Acuff,existing_artist,Back in the Country,back in the country,1974,51,1974,51,1974 in country music
artist_000133,Roy Acuff,Roy Acuff,existing_artist,Come and Knock (On the Door of My Heart),come and knock,1959,20,1959,20,1959 in country music
artist_000133,Roy Acuff,Roy Acuff,existing_artist,Once More,once more,1958,8,1958,8,1958 in country music
artist_000133,Roy Acuff,Roy Acuff,existing_artist,So Many Times,so many times,1959,16,1959,16,1959 in country music
artist_001530,Roy Clark,Roy Clark,existing_artist,Honeymoon Feelin',honeymoon feelin,1974,4,1974,4,1974 in country music
artist_001530,Roy Clark,Roy Clark,existing_artist,Somewhere Between Love and Tomorrow,somewhere between love and tomorrow,1974,2,1974,2,1974 in country music
artist_001530,Roy Clark,Roy Clark,existing_artist,The Great Divide,the great divide,1974,12,1974,12,1974 in country music
artist_000013,Roy Drusky,Roy Drusky,existing_artist,Another (Just Like Me),another,1960,2,1960,2,1960 in country music
artist_000013,Roy Drusky,Roy Drusky,existing_artist,Anymore,anymore,1960,3,1960,3,1960 in country music
artist_000013,Roy Drusky,Roy Drusky,existing_artist,Peel Me a Nanner,peel me a nanner,1964,8,1964,8,1964 in country music
artist_000013,Roy Drusky,Roy Drusky,existing_artist,Pick of the Week,pick of the week,1964,13,1964,13,1964 in country music
artist_001851,Ruby Wright (country singer),Ruby Wright,existing_artist,Dern Ya,dern ya,1964,13,1964,13,1964 in country music
artist_000044,Russell Dickerson,Russell Dickerson,existing_artist,Blue Tacoma,blue tacoma,2018,5,2018,5,2018 in country music
artist_000044,Russell Dickerson,Russell Dickerson,existing_artist,Every Little Thing,every little thing,2019,5,2019,5,2019 in country music
artist_000044,Russell Dickerson,Russell Dickerson,existing_artist,God Gave Me a Girl,god gave me a girl,2023,15,2023,15,2023 in country music
artist_000044,Russell Dickerson,Russell Dickerson,existing_artist,Happen to Me,happen to me,2025,6,2025,6,2025 in country music
artist_000044,Russell Dickerson,Russell Dickerson,existing_artist,Home Sweet,home sweet,2022,21,2022,21,2022 in country music
artist_000044,Russell Dickerson,Russell Dickerson,existing_artist,Love You Like I Used To,love you like i used to,2020,5,2020,5,2020 in country music
artist_000044,Russell Dickerson,Russell Dickerson,existing_artist,Yours,yours,2018,3,2018,3,2018 in country music
artist_000112,Ryan Hurd,Ryan Hurd with Maren Morris,existing_artist,Chasing After You,chasing after you,2021,3,2021,3,2021 in country music
artist_000197,Sam Barber,Sam Barber featuring Avery Anna,existing_artist,Indigo,indigo,2025,8,2025,8,2025 in country music
artist_000050,Sam Hunt,Sam Hunt,existing_artist,Country House,country house,2025,27,2025,27,2025 in country music
artist_000050,Sam Hunt,Sam Hunt,existing_artist,Downtown's Dead,downtown s dead,2018,14,2018,14,2018 in country music
artist_000050,Sam Hunt,Sam Hunt,existing_artist,Leave the Night On,leave the night on,2014,1,2014,1,2014 in country music
artist_000050,Sam Hunt,Sam Hunt,existing_artist,Make You Miss Me,make you miss me,2016,2,2016,2,2016 in country music
artist_000050,Sam Hunt,Sam Hunt,existing_artist,Outskirts,outskirts,2024,14,2024,14,2024 in country music
artist_000050,Sam Hunt,Sam Hunt,existing_artist,Take Your Time,take your time,2015,1,2015,1,2015 in country music
artist_000050,Sam Hunt,Sam Hunt,existing_artist,Water Under the Bridge,water under the bridge,2023,27,2023,27,2023 in country music
artist_001050,Sammi Smith,Sammi Smith,existing_artist,The Rainbow in Daddy's Eyes,the rainbow in daddy s eyes,1974,16,1974,16,1974 in country music
artist_001064,Sammy Kershaw,Sammy Kershaw,existing_artist,I Can't Reach Her Anymore,i can t reach her anymore,1994,3,1994,3,1994 in country music
artist_001064,Sammy Kershaw,Sammy Kershaw,existing_artist,Love of My Life,love of my life,1998,2,1998,2,1998 in country music
artist_001064,Sammy Kershaw,Sammy Kershaw,existing_artist,National Working Woman's Holiday,national working woman s holiday,1994,2,1994,2,1994 in country music
artist_000921,Sara Evans,Sara Evans,existing_artist,As If,as if,2007,11,2007,11,2007 in country music
artist_000921,Sara Evans,Sara Evans,existing_artist,Born to Fly,born to fly,2001,1,2001,1,2001 in country music
artist_000921,Sara Evans,Sara Evans,existing_artist,You'll Always Be My Baby,you ll always be my baby,2007,13,2007,13,2007 in country music
artist_000019,Scotty McCreery,Scotty McCreery featuring Hootie & the Blowfish,existing_artist,Bottle Rockets,bottle rockets,2025,6,2025,6,2025 in country music
artist_000019,Scotty McCreery,Scotty McCreery,existing_artist,Cab in a Solo,cab in a solo,2024,20,2024,20,2024 in country music
artist_000019,Scotty McCreery,Scotty McCreery,existing_artist,Damn Strait,damn strait,2022,6,2022,6,2022 in country music
artist_000019,Scotty McCreery,Scotty McCreery,existing_artist,Five More Minutes,five more minutes,2018,4,2018,4,2018 in country music
artist_000019,Scotty McCreery,Scotty McCreery,existing_artist,I Love You This Big,i love you this big,2011,15,2011,15,2011 in country music
artist_000019,Scotty McCreery,Scotty McCreery,existing_artist,In Between,in between,2020,12,2020,12,2020 in country music
artist_000019,Scotty McCreery,Scotty McCreery,existing_artist,It Matters to Her,it matters to her,2023,13,2023,13,2023 in country music
artist_000019,Scotty McCreery,Scotty McCreery,existing_artist,This Is It,this is it,2019,3,2019,3,2019 in country music
artist_001244,Shania Twain,Shania Twain,existing_artist,Don't Be Stupid (You Know I Love You),don t be stupid,1998,6,1998,6,1998 in country music
artist_001244,Shania Twain,Shania Twain (with Bryan White),existing_artist,From This Moment On,from this moment on,1998,6,1998,6,1998 in country music
artist_001244,Shania Twain,Shania Twain,existing_artist,"Honey, I'm Home",honey i m home,1998,1,1998,1,1998 in country music
artist_001244,Shania Twain,Shania Twain,existing_artist,You're Still the One,you re still the one,1998,1,1998,1,1998 in country music
artist_001447,Shelby Lynne,Shelby Lynne,existing_artist,Things Are Tough All Over,things are tough all over,1991,23,1991,23,1991 in country music
artist_000799,Skeeter Davis,Skeeter Davis,existing_artist,(I Can't Help You) I'm Falling Too,i m falling too,1960,2,1960,2,1960 in country music
artist_000799,Skeeter Davis,Skeeter Davis,existing_artist,Am I That Easy to Forget,am i that easy to forget,1960,11,1960,11,1960 in country music
artist_000799,Skeeter Davis,Skeeter Davis,existing_artist,Gonna Get Along Without You Now,gonna get along without you now,1964,8,1964,8,1964 in country music
artist_000799,Skeeter Davis,Skeeter Davis,existing_artist,He Says the Same Things to Me,he says the same things to me,1964,17,1964,17,1964 in country music
artist_000799,Skeeter Davis,Skeeter Davis,existing_artist,Homebreaker,homebreaker,1959,15,1959,15,1959 in country music
artist_000799,Skeeter Davis,Skeeter Davis,existing_artist,Set Him Free,set him free,1959,5,1959,5,1959 in country music
artist_000130,Skeets McDonald,Skeets McDonald,existing_artist,Don't Let the Stars Get in Your Eyes,don t let the stars get in your eyes,1953,12,1953,12,Billboard Top Country & Western Records of 1953
artist_000681,Slim Whitman,Slim Whitman,existing_artist,Indian Love Call,indian love call,1952,2,1952,2,Billboard Top Country & Western Records of 1952
artist_000681,Slim Whitman,Slim Whitman,existing_artist,Keep It a Secret,keep it a secret,1953,19,1953,19,Billboard Top Country & Western Records of 1953
artist_000681,Slim Whitman,Slim Whitman,existing_artist,Rose Marie,rose marie,1954,4,1954,4,Billboard Top Country & Western Records of 1954
artist_000681,Slim Whitman,Slim Whitman,existing_artist,Secret Love,secret love,1954,2,1954,2,Billboard Top Country & Western Records of 1954
artist_000681,Slim Whitman,Slim Whitman,existing_artist,Such a Night,such a night,1954,18,1954,18,Billboard Top Country & Western Records of 1954
artist_000653,Slim Willet,Slim Willet,existing_artist,Don't Let the Stars Get in Your Eyes,don t let the stars get in your eyes,1953,22,1953,22,Billboard Top Country & Western Records of 1953
artist_000270,Sonny James,Sonny James,existing_artist,A Mi Esposa Con Amor (To My Wife with Love),a mi esposa con amor,1974,4,1974,4,1974 in country music
artist_000270,Sonny James,Sonny James,existing_artist,Ask Marie,ask marie,1964,19,1964,19,1964 in country music
artist_000270,Sonny James,Sonny James,existing_artist,Baltimore,baltimore,1964,6,1964,6,1964 in country music
artist_000270,Sonny James,Sonny James,existing_artist,"First Date, First Kiss, First Love",first date first kiss first love,1957,9,1957,9,Billboard Top Country & Western Records of 1957
artist_000270,Sonny James,Sonny James,existing_artist,Is It Wrong (For Loving You),is it wrong,1974,75,1974,75,1974 in country music
artist_000270,Sonny James,Sonny James,existing_artist,You're the Reason (I'm in Love),you re the reason,1957,6,1957,6,Billboard Top Country & Western Records of 1957
artist_000270,Sonny James,Sonny James,existing_artist,Young Love,young love,1957,1,1957,1,Billboard Top Country & Western Records of 1957
