musicbrainz_mbid,mbx_birth_year,mbx_birth_city,mbx_birth_state,mbx_birth_country
3d2b98e5-556f-4451-a3ff-c50ea18d57cb,1970.0,Boston,,United States
3ca0ef91-3297-4ef8-a99a-1c1a54dc8ac7,1988.0,Richmond,Virginia,United States
328676f3-76ac-40df-b154-31e6f533286a,1977.0,Los Angeles,,United States
5c01e170-1302-4e75-a10c-d9e440b0c68f,1982.0,Phoenix,,United States
8295499e-808a-4e10-9e91-2df00d9c1a72,1967.0,Philadelphia,,United States
f8656e00-f35c-4712-b0e1-0855764eeaa4,1959.0,Richmond,Virginia,United States
ea4dfa26-f633-4da6-a52a-f49ea4897b58,1980.0,Athens,,United States
96c1edac-1011-4cb8-882c-27248de35071,1976.0,,New York,United States
f467181e-d5e0-4285-b47e-e853dcc89ee7,2001.0,Brooklyn,New York,United States
6a9b6b8e-7084-45a7-b175-3bcc0143966b,1986.0,,New York,United States
ee3c663d-1949-4544-ad52-aa00f9854e87,1983.0,Carrboro,,United States
a0955511-1324-4e9b-834f-e1e140502850,1989.0,Red Bank,,United States
0a3386b0-9634-40bf-aab4-4999dcad0e6d,1982.0,Oakland,,United States
c33c2065-b1c3-4406-b066-d33a9e2ea71a,2004.0,Colorado Springs,,United States
b3b5ceef-0d3e-4191-a621-5e97d6ed3d97,1954.0,Harlem,,United States
1f16a425-2606-4137-a6b7-234b6dabe037,1998.0,San Diego,,United States
75cdc7ad-63b6-48b3-8de2-617d08a9ddf8,1968.0,Mocorito,,United States
d98c8149-0c01-4151-93e1-48fdc3d5027f,1986.0,Westfield,,United States
1a48176d-1414-4a18-9792-50ba585d4d59,1968.0,Los Angeles,,United States
b3120863-d98d-4bad-a637-8abd8cde6685,1989.0,Columbia,,United States
1599e3a3-240b-4f4b-805e-aedfdc8c3861,1943.0,London,England,GB
5a54b72e-bfb3-4ca6-944a-e17261399965,1975.0,Cleveland,,United States
9ce0515d-cc88-4df6-8a2e-d231c13cb2c2,2006.0,Boston,,United States
d1644dce-5c33-4dcd-8fc5-72003fdc89d5,2000.0,Philadelphia,,United States
5cfc3a52-c3f8-4086-9198-81a21079024a,1936.0,Kotor,,United States
f54fc7c3-3a40-4f26-83cf-328d9b097e93,1980.0,Huntington Beach,,United States
c826bda4-4f4f-4746-81ba-5f66ac9c95e5,1965.0,San Francisco,California,United States
02fc841e-489f-4679-aff0-08fcfea1f381,1987.0,,New York,United States
1f6fdb90-95a2-419e-9994-b406d562caac,1969.0,,Illinois,United States
298f4089-1948-44b5-b5e8-d5381f42362f,2008.0,Brooklyn,New York,United States
bb0df069-702b-4518-b17e-0bd64045b1be,1988.0,,New York,United States
9caa5639-5037-4e45-bace-ebb992331a0c,1964.0,Lower East Side,,United States
381e8434-109a-439c-8acc-5d328359f2e0,1990.0,San Francisco,California,United States
b9a06530-1241-4162-836f-7b8e79deaa58,1981.0,Jamestown,,United States
0039c7ae-e1a7-4a7d-9b49-0cbc716821a6,1997.0,Bellingham,,United States
58a53082-a629-4ff1-a44d-7492d6f6e8fb,1984.0,Boston,,United States
32b90c92-9978-4a07-90eb-caa4b22f4907,1998.0,San Francisco,California,United States
66752368-2698-4c38-9be3-b7be18bb02f6,,San Francisco,California,United States
e01755e3-58ab-4a5b-a9e9-a0a3bd3dff4c,2010.0,Brooklyn,New York,United States
4167b497-1ae5-4502-a8e6-e1546ffbe514,1966.0,Cleveland,,United States
8444928a-9292-4b69-ac50-3e9b44cfa8de,1980.0,Atlanta,,United States
191d386f-8747-4cb3-aaa8-7236e8347b35,1981.0,The Bronx,New York,United States
c926a04a-df7f-43b0-8e5b-8976ab4d3e8f,1991.0,Gainesville,,United States
59b0f5da-cd35-4ec7-a4a8-74d7aa7948b7,1957.0,Seattle,,United States
e9a4a145-e1bd-4384-ad26-b344205dd9df,2000.0,Lower East Side,,United States
766a2b45-441f-4096-af05-dbbca9518c9d,1994.0,Los Angeles,,United States
219ce30a-0f3a-468c-9a13-55ee358ac0f0,1964.0,,New York,United States
1154b8aa-1cc1-4b01-afff-eca45ae590fa,1977.0,Los Angeles,,United States
3452655c-831e-4552-935a-729129df92da,1965.0,Los Angeles,,United States
4de3cfed-b459-42bd-bfbb-7a843fbc73df,1987.0,Cambridge,,United States
88044f02-113a-4176-b09b-b786ef6ffbb4,1965.0,,New York,United States
6def3fa9-836f-4b50-8815-b96cc92e63b8,2002.0,San Antonio,,United States
b7834ebd-64ae-46c3-a930-2d3a52ee743a,2000.0,,New York,United States
5cbef01b-cc35-4f52-af7b-d0df0c4f61b9,1981.0,,New York,United States
99fe4613-84ec-4f48-bb4f-f036880ed2ac,2002.0,Brooklyn,New York,United States
b665b768-0d83-4363-950c-31ed39317c15,1972.0,Pasadena,,United States
6413506f-e22b-412c-9f19-239db7df21f2,1998.0,Inglewood,,United States
45d29fa5-6e8e-4e40-a519-2217f332bcac,1996.0,Atlanta,,United States
d3982e3f-39b5-4b1d-8374-a428c466099d,,,,United States
3b141e34-8c02-4074-b68a-7d64e3212acd,1993.0,,,United States
30480808-4c03-432c-9e94-dd3b12d4e127,1995.0,Los Angeles,,United States
6f191c70-1345-4ea5-b7af-5db9ee50d7c0,1985.0,Harlem,,United States
2ad8bce1-8e55-48db-82ed-d98b52a3a13f,1991.0,Philadelphia,,United States
148ddea2-6839-4354-8e2c-5dfadf136b7f,1994.0,Los Angeles,,United States
98cb416e-5271-484c-ab3b-6bed6b4aae12,2009.0,Seattle,,United States
bdd2de9c-dd7a-4641-8cf8-8dd7d23577f2,1930.0,,West Virginia,United States
0ab2c12c-5032-4bc4-86f2-92fce0e6c1fd,2001.0,,California,United States
7058f617-a167-4e34-bbaf-7f08f32d4a5a,1947.0,Palermo,,IT
160629ab-ec18-4931-8c95-02cb92d06186,1976.0,,New York,United States
622c14c7-6f49-4bde-b29b-8ec4eb0d1177,2003.0,,,United States
1c893468-37a9-4fb7-909f-929751a8ebed,1968.0,,New Jersey,United States
cbf71c15-17c2-484f-8406-cfce12fd3e46,1985.0,Dallas,,United States
29c5b1fb-5dcc-4499-b225-4ceeeb8a73d1,1927.0,Maces Spring,,United States
8e25c013-829a-45dc-bc97-0876c94b0f29,2017.0,,,United States
82cd001a-150d-45b1-aa21-42ba0065dd42,1984.0,,,United States
d1ab8ca8-fb9f-4e78-a422-3cd5406dc0b1,1991.0,,New York,United States
94b0fb9d-a066-4823-b2ec-af1d324bcfcf,1964.0,,New York,United States
7cacb443-1ffd-43fb-9ea3-4001e426ac36,,Clearwater,,United States
d01973d4-e4dc-4f4d-a8a7-bc93d139969f,,,,United States
77029a1c-76fa-4350-a1a8-dacc10230b6f,,,,United States
f0433178-6b43-4a2c-86e1-bbfeb296cdf1,,,,United States
6898dfc7-7ddd-418d-95b4-863d668897dc,,,,United States
1a4602c1-3324-405c-91bd-7c3bb8e99603,,,,United States
26d08d41-c6a9-4604-8e8c-0b43ab87cc1b,2016.0,Norwich,,United States
db44f6a6-26d2-423f-8514-da4cfa7412a6,,,,United States
0c3b83a4-1398-4e68-b855-8192e2c707c3,,Boston,,United States
28b6ce62-5e14-443c-80b4-ebb8e04936e1,1973.0,,,United States
b411483b-e9cc-4b4f-9661-0452333c615a,1961.0,Tarzana,,United States
5ccb5844-fe82-4af4-b9b9-7341c83d83d2,,Los Angeles,,United States
9ada6fba-df61-4849-9f39-eec9be772b22,1974.0,Talavera de la Reina,,United States
bf1254a2-4f29-4f44-90e7-291f96edc332,1948.0,,,United States
91c108c1-9103-4d55-bbe6-f21394808b75,1944.0,Philadelphia,,United States
26e3f00a-7031-46c6-9ac2-334a2dd5bbcd,,,,United States
192f7a3f-ec32-4eae-b8f6-3bc430bd763c,,,,United States
cbce1173-4ee0-4d1b-a955-575698753c4c,,,,United States
4a3460de-c982-4d86-89ae-1e3baa66df52,,,,United States
fe635a14-5b53-4210-a58e-88b9f1327aa3,2006.0,Sydney,New South Wales,AU
f61ee33b-7af7-4b8c-97ee-e367db596b4f,2006.0,Toronto,Ontario,CA
57f8b134-81fe-4607-9b07-9769f2e0a186,,,,United States
3e87e07c-1525-4f61-baa3-22eb79b6cc85,,,,United States
c646288c-08aa-409e-a941-815af11108ca,,,,United States
49075960-65fc-48b1-b507-291f2387e449,,,,United States
54a3266e-cae3-467e-8697-9039a5add4ff,,,,United States
d7bf8ced-b319-45c7-a515-9744771d6b1e,1976.0,,,FR
f2dd0909-e050-4f30-b3a9-4db92f7f3c74,,,,
56cc74c7-6a8c-42a4-87a1-59d6963b2c1f,1893.0,Greenwood,,United States
621e65bc-b5bc-471f-ba4d-184fc18c65e9,1949.0,Los Angeles,,United States
bd38cc7b-dc36-4a39-86cb-3579ba936f82,1945.0,"Washington, D.C.",,United States
9e04d89f-85d2-4930-821a-2ff1ca78e298,1924.0,Scottsville,,United States
64b85bbd-7ec2-4db3-922c-cea695e7edff,,,,United States
