seed_title,source_seed,wikidata_qid
Union Station,artist_universe_adjacent_targeted,Q253122
Unwritten Law,artist_universe_adjacent_targeted,
Ursus arctos horribilis,artist_universe_adjacent_targeted,Q171004
Van Halen,artist_universe_adjacent_targeted,
Violent Femmes,artist_universe_adjacent_targeted,
Voices of Fire,artist_universe_adjacent_targeted,
Vybe,artist_universe_adjacent_targeted,
Wall of Voodoo,artist_universe_adjacent_targeted,
Warrior Soul,artist_universe_adjacent_targeted,
Whiskeytown,artist_universe_adjacent_targeted,
Wild Rose,artist_universe_adjacent_targeted,
X Ambassadors,artist_universe_adjacent_targeted,
Xasthur,artist_universe_adjacent_targeted,
Zach Bryan,artist_universe_adjacent_targeted,
Zephyr,artist_universe_adjacent_targeted,
afterglow,artist_universe_adjacent_targeted,Q1141780
carpentry,artist_universe_adjacent_targeted,Q203605
chemical element,artist_universe_adjacent_targeted,
clutch,artist_universe_adjacent_targeted,Q194302
country club,artist_universe_adjacent_targeted,Q1137210
cursive,artist_universe_adjacent_targeted,Q1079418
dead bolt,artist_universe_adjacent_targeted,Q17149603
dusk,artist_universe_adjacent_targeted,Q11288132
evergreen plant,artist_universe_adjacent_targeted,Q190489
exile,artist_universe_adjacent_targeted,Q188863
failure,artist_universe_adjacent_targeted,Q1121708
fire station,artist_universe_adjacent_targeted,
frying pan,artist_universe_adjacent_targeted,Q127666
hammock,artist_universe_adjacent_targeted,Q193823
health,artist_universe_adjacent_targeted,Q12147
heart,artist_universe_adjacent_targeted,Q1072
hem,artist_universe_adjacent_targeted,Q12536994
hole,artist_universe_adjacent_targeted,Q20204151
jade,artist_universe_adjacent_targeted,Q175089
kaleidoscope,artist_universe_adjacent_targeted,Q180049
list of state routes in Nevada shorter than one mile,artist_universe_adjacent_targeted,Q104902684
lost and found,artist_universe_adjacent_targeted,Q15983979
medicine,artist_universe_adjacent_targeted,Q11190
patience,artist_universe_adjacent_targeted,Q12846123
phosphorescence,artist_universe_adjacent_targeted,Q192275
rock-paper-scissors,artist_universe_adjacent_targeted,Q106631
saliva,artist_universe_adjacent_targeted,Q155925
smog,artist_universe_adjacent_targeted,Q169994
stranger,artist_universe_adjacent_targeted,
sugar,artist_universe_adjacent_targeted,Q11002
suicide,artist_universe_adjacent_targeted,Q10737
tumbleweed,artist_universe_adjacent_targeted,Q1060486
utopia,artist_universe_adjacent_targeted,Q131156
virtue,artist_universe_adjacent_targeted,Q157811
war,artist_universe_adjacent_targeted,Q198
witness,artist_universe_adjacent_targeted,Q196939
