artist_id,name_primary,birth_name,stage_name,aliases,wikidata_qid,musicbrainz_mbid,isni,viaf_id,wikipedia_url,birth_year,birth_city,birth_county,birth_state,birth_state_abbr,birth_country,death_date,death_year,death_place_raw,citizenship,occupations,genres_raw,genres_normalized,country_relevance_score,instruments,member_of,record_labels,awards,official_website,birth_decade,us_macro_region,is_deceased,age_or_age_at_death,is_us_born,is_solo_person,is_country_core,is_country_broad,flag_restricted_sample,flag_expanded_sample,sample_membership,inclusion_reason,exclusion_reason,source_primary,source_secondary,source_seed,evidence_urls,source_count,birth_date_confidence,birth_place_confidence,genre_confidence,manual_review_needed,notes,name_key,in_songfile,in_country_restricted,in_country_master,in_adjacent_seed_pool,source_membership_count,artist_name_songfile_example,adjacent_genre_bucket,adjacent_source_group,core_union_flag,birth_admin_labels,wikipedia_categories,wp_birth_place_raw,wp_birth_year,wp_birth_date,birth_date,birth_place_raw,birth_country_raw
,Keith Urban and Miranda Lambert,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,keith urban and miranda lambert,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Keith Whitley & Earl Thomas Conley,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,keith whitley and earl thomas conley,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Kenny Chesney and Tim McGraw,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,kenny chesney and tim mcgraw,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Kitty Wells and Webb Pierce,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,kitty wells and webb pierce,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,"Kitty Wells, Webb Pierce",,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,kitty wells webb pierce,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Koe Wetzel and Jessie Murph,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,koe wetzel and jessie murph,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,LaCosta,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,lacosta,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Laverne Downs,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,laverne downs,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Lee Greenwood & Suzy Bogguss,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,lee greenwood and suzy bogguss,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Lil Nas X featuring Billy Ray Cyrus,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,lil nas x featuring billy ray cyrus,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Lonnie Irving,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,lonnie irving,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Louise Massey and the Westerners,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,louise massey and the westerners,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Louvin Brothers,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,louvin brothers,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Luke Gordon,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,luke gordon,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,"M. Lorrie, B. DeVal",,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,m lorrie b deval,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Mark O'Connor and the New Nashville Cats,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,mark o connor and the new nashville cats,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Mel Tillis and Sherry Bryce,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,mel tillis and sherry bryce,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Moneybagg Yo featuring Morgan Wallen,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,moneybagg yo featuring morgan wallen,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Moon Mullican and The Showboys,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,moon mullican and the showboys,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Nelly & Florida Georgia Line,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,nelly and florida georgia line,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Osborne Brothers and Red Allen,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,osborne brothers and red allen,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Parmalee & Blanco Brown,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,parmalee and blanco brown,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Pee Wee King and His Golden West Cowboys,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,pee wee king and his golden west cowboys,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Pentatonix featuring Dolly Parton,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,pentatonix featuring dolly parton,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Perez Prado,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,perez prado,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Pinetoppers,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,pinetoppers,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,RCA Victor,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,rca victor,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Ray Godfrey,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,ray godfrey,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Red & Betty Foley,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,red and betty foley,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Red Ingle and The Natural Seven vocal by Cinderella G Stump,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,red ingle and the natural seven vocal by cinderella g stump,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Sugarland featuring Taylor Swift,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,sugarland featuring taylor swift,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Ted Self,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,ted self,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,"Tennessee Ernie Ford, Kay Starr",,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,tennessee ernie ford kay starr,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,The Carlisles,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,the carlisles,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,The Hoosier Hot Shots and Two Ton Baker,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,the hoosier hot shots and two ton baker,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Tim McGraw & Tyler Hubbard,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,tim mcgraw and tyler hubbard,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Tim McGraw and Faith Hill,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,tim mcgraw and faith hill,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Vaughn Monroe and His Orchestra,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,vaughn monroe and his orchestra,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Webb Pierce and Kitty Wells,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,webb pierce and kitty wells,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Wilburn Brothers,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,wilburn brothers,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Willie Nelson and Tracy Nelson,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,willie nelson and tracy nelson,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Willis Brothers,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,willis brothers,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Zach Bryan featuring Bon Iver,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,zach bryan featuring bon iver,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Zach Bryan featuring Kacey Musgraves,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,zach bryan featuring kacey musgraves,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Zach Bryan featuring Maggie Rogers,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,zach bryan featuring maggie rogers,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Zach Bryan featuring Noah Kahan,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,zach bryan featuring noah kahan,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Zach Bryan featuring Sierra Ferrell,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,zach bryan featuring sierra ferrell,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Zach Bryan featuring The Lumineers,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,zach bryan featuring the lumineers,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Zach Bryan featuring The War and Treaty,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,zach bryan featuring the war and treaty,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
