artist_id,name_primary,chart_artist_name,artist_resolution,song_name,song_key,best_chart_year,best_chart_pos,all_chart_years,all_chart_positions,source_titles,source_kinds,artist_in_adjacent,artist_in_full
artist_001969,Eric Church,Eric Church,existing_artist,Hell of a View,hell of a view,2021,2,2021,2,2021 in country music,year_end,0,1
artist_001969,Eric Church,Eric Church,existing_artist,Record Year,record year,2016,2,2016,2,2016 in country music,year_end,0,1
artist_001969,Eric Church,Eric Church,existing_artist,Round Here Buzz,round here buzz,2018,7,2018,7,2018 in country music,year_end,0,1
artist_001969,Eric Church,Eric Church,existing_artist,Some of It,some of it,2019,7,2019,7,2019 in country music,year_end,0,1
artist_001969,Eric Church,Eric Church,existing_artist,Springsteen,springsteen,2012,1,2012,1,2012 in country music,year_end,0,1
artist_001031,Eric Paslay,Eric Paslay,existing_artist,Friday Night,friday night,2014,6,2014,6,2014 in country music,year_end,0,1
artist_001031,Eric Paslay,Eric Paslay,existing_artist,She Don't Love You,she don t love you,2015,15,2015,15,2015 in country music,year_end,0,1
artist_000188,Ernest,Ernest featuring Morgan Wallen,existing_artist,Flower Shops,flower shops,2022,13,2022,13,2022 in country music,year_end,0,1
artist_000877,Ernest Ashworth,Ernest Ashworth,existing_artist,A Week in the Country,a week in the country,1964,10,1964,10,1964 in country music,year_end,0,1
artist_000877,Ernest Ashworth,Ernest Ashworth,existing_artist,Each Moment (Spent With You),each moment,1960,4,1960,4,1960 in country music,year_end,0,1
artist_000877,Ernest Ashworth,Ernest Ashworth,existing_artist,I Love to Dance with Annie,i love to dance with annie,1964,4,1964,4,1964 in country music,year_end,0,1
artist_000877,Ernest Ashworth,Ernest Ashworth,existing_artist,You Can't Pick a Rose in December,you can t pick a rose in december,1960,8,1960,8,1960 in country music,year_end,0,1
artist_001963,Ernest Tubb,Ernest Tubb,existing_artist,Blue Christmas,blue christmas,1949,22,1949,22,1949 in country music,year_end,0,1
artist_001963,Ernest Tubb,Ernest Tubb,existing_artist,Don't Look Now (But Your Broken Heart Is Showing),don t look now,1947,18,1947,18,1947 in country music,year_end,0,1
artist_001963,Ernest Tubb,Ernest Tubb,existing_artist,Ev'rybody's Somebody's Fool,ev rybody s somebody s fool,1960,16,1960,16,1960 in country music,year_end,0,1
artist_001963,Ernest Tubb,Ernest Tubb,existing_artist,Filipino Baby,filipino baby,1946,11,1946,11,1946 in country music,year_end,0,1
artist_001963,Ernest Tubb,Ernest Tubb,existing_artist,Have You Ever Been Lonely? (Have You Ever Been Blue),have you ever been lonely,1949,30,1949,30,1949 in country music,year_end,0,1
artist_001963,Ernest Tubb,Ernest Tubb,existing_artist,House of Glass,house of glass,1958,13,1958,13,1958 in country music,year_end,0,1
artist_001963,Ernest Tubb,Ernest Tubb,existing_artist,I Love You Because,i love you because,1950,2,1950,2,Billboard Top Country & Western Records of 1950,year_end,0,1
artist_001963,Ernest Tubb,Ernest Tubb,existing_artist,Letters Have No Arms,letters have no arms,1950,2,1950,2,Billboard Top Country & Western Records of 1950,year_end,0,1
artist_001963,Ernest Tubb,Ernest Tubb,existing_artist,Missing in Action,missing in action,1952,3,1952,3,Billboard Top Country & Western Records of 1952,year_end,0,1
artist_001963,Ernest Tubb,Ernest Tubb,existing_artist,Next Time,next time,1959,14,1959,14,1959 in country music,year_end,0,1
artist_001963,Ernest Tubb,Ernest Tubb,existing_artist,Rainbow at Midnight,rainbow at midnight,1946,4,1946|1947|1947,4|6|18,1946 in country music|1947 in country music,year_end,0,1
artist_001963,Ernest Tubb,Ernest Tubb,existing_artist,Seaman's Blues',seaman s blues,1948,23,1948,23,1948 in country music,year_end,0,1
artist_001963,Ernest Tubb,Ernest Tubb,existing_artist,Slipping Around,slipping around,1949,12,1949|1949,12|24,1949 in country music,year_end,0,1
artist_001963,Ernest Tubb,Ernest Tubb,existing_artist,What Am I Living For,what am i living for,1959,19,1959,19,1959 in country music,year_end,0,1
artist_002583,Ernest Tubb and Loretta Lynn,Ernest Tubb and Loretta Lynn,existing_artist,Mr. and Mrs. Used to Be,mr and mrs used to be,1964,11,1964,11,1964 in country music,year_end,0,0
artist_002584,Ernest Tubb and The Wilburn Brothers,Ernest Tubb and The Wilburn Brothers,existing_artist,"Hey, Mr. Bluebird",hey mr bluebird,1958,9,1958,9,1958 in country music,year_end,0,0
artist_001035,Ernie Freeman,Ernie Freeman,existing_artist,Raunchy,raunchy,1958,11,1958,11,1958 in country music,year_end,0,1
artist_001226,Faith Hill,Faith Hill,existing_artist,There You'll Be,there you ll be,2001,11,2001,11,2001 in country music,year_end,0,1
artist_001857,Faron Young,Faron Young,existing_artist,A Long Time Ago,a long time ago,1959,16,1959,16,1959 in country music,year_end,0,1
artist_001857,Faron Young,Faron Young,existing_artist,All Right,all right,1955,10,1955,10,Billboard Top Country & Western Records of 1955,year_end,0,1
artist_001857,Faron Young,Faron Young,existing_artist,Alone with You,alone with you,1958,10,1958,10,Billboard year-end top 50 country & western singles of 1958,year_end_wikipedia,0,1
artist_001857,Faron Young,Faron Young,existing_artist,Backtrack,backtrack,1961,49,1961,49,Billboard year-end top 50 country & western singles of 1961,year_end_wikipedia,0,1
artist_001857,Faron Young,Faron Young,existing_artist,Country Girl,country girl,1959,7,1959,7,Billboard year-end top 50 country & western singles of 1959,year_end_wikipedia,0,1
artist_001857,Faron Young,Faron Young,existing_artist,Every Time I'm Kissing You,every time i m kissing you,1958,10,1958,10,1958 in country music,year_end,0,1
artist_001857,Faron Young,Faron Young,existing_artist,Face to the Wall,face to the wall,1960,10,1960,10,1960 in country music,year_end,0,1
artist_001857,Faron Young,Faron Young,existing_artist,Hello Walls,hello walls,1961,6,1961,6,Billboard year-end top 50 country & western singles of 1961,year_end_wikipedia,0,1
artist_001857,Faron Young,Faron Young,existing_artist,I Miss You Already,i miss you already,1957,5,1957,5,Billboard Top Country & Western Records of 1957,year_end,0,1
artist_001857,Faron Young,Faron Young,existing_artist,I've Got Five Dollars and It's Saturday Night,i ve got five dollars and it s saturday night,1956,20,1956,20,Billboard Top Country & Western Records of 1956,year_end,0,1
artist_001857,Faron Young,Faron Young,existing_artist,If You Ain't Lovin' (You Ain't Livin'),if you ain t lovin,1955,8,1955,8,Billboard Top Country & Western Records of 1955,year_end,0,1
