release_year,n_tabs,bpm,complexity,repetition,melodicness,energy,finger_movement,disruption,root_stability,intra_root_variation,harmonic_palette,loop_strength,structure_variation,playability,harmonic_softness,share_billboard_year_end,release_upload_gap
1989,266,129.7666666666667,.1275997761299566,.8953866374826646,.015643974019726,.6762672475180064,.488205191528562,.7756939193390141,.1402680606897336,.2798663324979115,.6720551378446118,.3235064004576403,.6633249791144527,.8724002238700436,.1429240518717044,.0112781954887218,28.142857
1990,359,110.8333333333333,.1126058050041742,.8991528559450453,.0103555431771439,.6828525823370238,.4243111542748917,.7973128219596297,.1195057234866265,.2276385020117612,.5775301764159714,.2534556482370258,.5721138966264313,.8873941949958247,.1204449123036543,.0501392757660167,26.972145
1991,399,104.7105263157895,.1090686508790155,.9044063399920663,.0200644135094275,.6816407548355313,.4485569265081644,.7911691006289967,.1259860633012508,.2187412976886662,.5974101921470355,.2629855735468435,.5609161793372321,.8909313491209839,.1180519781264032,.0852130325814536,26.027569
1992,468,112.2982456140351,.1188197911479835,.8982447418347267,.0156286708643979,.6698515970460678,.4547575008857878,.7617747601550426,.145036823536502,.253561253561253,.5845797720797727,.2463878243868698,.552113010446344,.8811802088520171,.1301961464697906,.0192307692307692,24.94017
1993,409,116.6451612903226,.1133651879598539,.9004561553593733,.0166568027184042,.67990813462988,.4949000252099769,.7836207569156414,.1313986690672407,.2427329530019013,.6181744091279555,.2498809595516393,.5812958435207826,.8866348120401455,.1225794168393387,.0513447432762836,24.090464
1994,488,119.8936170212766,.1128314985579422,.8958231736556588,.0171808388085461,.6814518031135196,.4746064544914114,.7944332065678763,.1242458490026259,.246926229508196,.6075478142076511,.3089606686541564,.5440004553734064,.8871685014420568,.1186012800336756,.0491803278688525,22.493853
1995,461,113.96875,.1195227656354928,.9021001146681279,.0168435906633287,.68340108440489,.442042479838495,.7907559429194284,.1252480103675055,.2037840443480354,.5577368040491696,.3441868717079074,.5491684743311642,.8804772343645065,.1324918875732647,.017353579175705,21.817787
1996,492,105.3617021276596,.1171262825590671,.898773744355037,.0280487293656685,.6906398685988175,.5347906816506725,.8011908521112118,.1214580929417439,.2598238482384819,.6097899728997297,.3200380360238443,.5418925022583561,.8828737174409335,.1277263005018026,.0223577235772358,20.646341
1997,390,113.8571428571429,.0930845111991773,.906154558287846,.0197092719175314,.6884003398982649,.4573582096653657,.8075473896170834,.1148147446915766,.2177949157383605,.5844044558697524,.3578939116170182,.5619822907740647,.9069154888008242,.0925772241905263,.0435897435897436,19.743589
1998,575,110.8636363636364,.1099166446538336,.9050642135525393,.0172762426972286,.6803229461692554,.4824043495827669,.7894192066726318,.1273223054229495,.2235772357723571,.5742450638792105,.3789737099148922,.5340689121176921,.8900833553461662,.1199038834580829,.0434782608695652,18.92
1999,487,102.5,.1076968913022112,.8989917517781627,.0141798163676945,.6896858406352164,.4731175443430289,.8057604493043898,.1169839459772913,.2359114761578822,.6099931553730328,.331042436689315,.5270933150809944,.8923031086977883,.1121559866891269,.0328542094455852,17.601643
2000,455,107.2432432432432,.1100688498773741,.8954226589555807,.0218582389342939,.6900185370194329,.51630043774509,.8016756239355614,.1205346359111074,.2631257631257625,.6350915750915759,.3256583954678047,.5331501831501829,.8899311501226261,.1137298557660105,.0395604395604396,16.303297
2001,462,116.96,.095053458735486,.9083629768559358,.0306845270182304,.6899647322564139,.5222762565035884,.8019557486458837,.1203399568322874,.2189754689754688,.5822150072150081,.3822706036662923,.5089586339586339,.9049465412645138,.0973310824631005,.0346320346320346,15.054112
2002,442,116.6511627906977,.091072253765038,.9038443948056927,.0354964924504575,.6920764186971495,.5391175338767861,.8213771835366882,.1044528495972219,.227878330819507,.60211161387632,.3969457337657952,.5384615384615381,.9089277462349614,.0876833528121915,.002262443438914,13.457013
2003,528,110.2826086956522,.09882124677324,.9056799971719112,.0391787823527575,.6828673518817741,.5361212267776694,.7948013820945801,.1226311639221463,.209701178451178,.5764520202020205,.3926396640550959,.5261468855218857,.90117875322676,.1018220760700084,.009469696969697,12.698864
2004,497,112.9354838709677,.094777639398738,.9052967115379538,.0374551012114643,.6867769227316297,.5554290176891176,.798463445699006,.1226713714849595,.2529622177509496,.5923876592890673,.3716512722545132,.5765705343170129,.9052223606012613,.0948272066898659,.0040241448692153,11.716298
2005,548,110.6865671641791,.0888277679965715,.9110684043855152,.0441655072746219,.6885186034895474,.5647135995399321,.8027177073687027,.1192540327174634,.2231346309813457,.5851885644768865,.3993269851445053,.550841443633414,.9111722320034282,.0887585495846295,.0200729927007299,10.456204
2006,612,103.1147540983606,.1023273792940312,.9035772395281599,.0459643824908285,.6938839302062394,.5482586183718116,.8114646203229537,.1115028116416328,.2258533042846764,.5906318082788671,.388882166577243,.5370370370370372,.8976726207059698,.1062637918421584,.042483660130719,9.2222223
2007,541,117.0444444444445,.0998702006907385,.9074869083241157,.0283984120333007,.6835103638123493,.5407945468727877,.7973002234299627,.1214152001205124,.2205791743684528,.5828404189772028,.3459494867853878,.513349763811871,.900129799309261,.1047749400339745,.0924214417744917,8.4842882
2008,655,117.0263157894737,.0868415424372857,.9107654134375521,.0252376982685191,.6798357370146049,.4772544243189156,.7907967812443321,.1244762800315223,.1994910941475821,.5463867684478374,.3947984400215414,.5710771840542831,.9131584575627139,.0852461796871777,.0625954198473282,7.9862595
2009,630,105.0851063829787,.090826980449757,.911841290185615,.0425067839110614,.6890855646052628,.5759671643664459,.8129595417443897,.1126640276845993,.2192239858906524,.5791798941798942,.4338498057832431,.5399029982363318,.909173019550243,.0926058275400066,.0523809523809524,6.7761903
2010,554,117.2083333333333,.0971573075956379,.913133681238943,.0405135271340025,.6854027107956243,.5601830060257444,.8010177940115231,.1192534167534421,.1838146811070997,.5419675090252719,.4251289357602971,.5221620537505014,.9028426924043613,.104017966818693,.0469314079422383,5.6046929
2011,668,114.8933333333333,.0965630401848381,.9081754787427818,.0578769162651955,.6860236086469632,.5769529037301067,.8099098536811615,.1119265149603,.1912840984697266,.565543912175649,.409671272396174,.5118512974051894,.9034369598151619,.0997220528032511,.0838323353293413,4.6407185
2012,566,117.4468085106383,.0923230782511255,.915614315827875,.0490386610827468,.6877133363050956,.5569952075984473,.8071929414983111,.1157174280477991,.1958186101295638,.5384570082449952,.5363936710883663,.5315567334118566,.9076769217488737,.0976146743037932,.0812720848056537,4.3745584
2013,675,116.0597014925373,.0839719652616558,.9166802204013531,.0373701168692676,.6944619208479971,.5664297497143138,.8218725792636854,.1065628690597108,.1873251028806578,.5552592592592592,.5465806007141054,.5032921810699583,.9160280347383439,.0844067557036618,.0844444444444444,2.9377778
2014,572,104.1166666666667,.0880977848302643,.9180916728864764,.0534008951940473,.6837154161114741,.5958214081490986,.8082226960659586,.1115578141992814,.1711344211344209,.5337121212121216,.6171574128949284,.5573038073038076,.9119022151697355,.0922240899747576,.0996503496503496,2.5367134
2015,672,113.2386363636364,.0946919718969046,.9179606803205379,.045141346425546,.68231513588012,.5924015464092732,.7999503977164547,.1206998600123117,.1976686507936505,.5550843253968253,.5796837874997073,.6628224206349209,.9053080281030956,.1031270733751991,.0639880952380952,2.3601191
2016,748,114.0752688172043,.090169073033386,.9193471687319225,.0383611506882013,.6826571799808215,.5885201018889435,.8061283859926904,.1168121175200573,.1994949494949494,.5365641711229944,.6615652454259148,.733103089720736,.9098309269666142,.096513234210258,.0561497326203209,1.6497326
2017,681,111.3418803418803,.082078503819982,.9228833995190211,.0487235870028549,.6797213298043976,.6106441650135197,.7966852654020835,.1221840801913273,.1851851851851848,.5504160548213414,.6814233207163578,.8733072279327787,.9179214961800181,.0853864393793169,.0469897209985316,1.1747431
2018,534,108.57,.0735727262567102,.9269454285610776,.0608835948208189,.6834263741110889,.6422861667606662,.8160092355384885,.1091180550811863,.1588639200998751,.5365792759051196,.7516677322922831,.8819184352892222,.9264272737432893,.0739181628019021,.0767790262172285,.93258429
2019,536,112.4607843137255,.0768852649836195,.9293752300337818,.0574328431646188,.6725551962554693,.6122526050526858,.7935549016976401,.1229533665591474,.171651090342679,.5158878504672908,.6906784459541944,.9108515057113188,.9231147350163805,.0810589283285547,.0802238805970149,.34701493
2020,820,112.5431034482759,.0875966700132932,.9246584915091984,.0518703561241464,.6739820266694212,.6514764336882507,.7900961579032773,.1270434983447314,.2035230352303523,.5585975609756092,.7161405343916186,.8616531165311654,.912403329986707,.0957667776949556,.0646341463414634,-.37439024
2021,802,105.4827586206897,.0869331903777153,.929251070093825,.0721244743824618,.6719594612143079,.6747619795605875,.7770637021856479,.132698764971535,.208090883901358,.5684954280964261,.7143134477003995,.7133555001385425,.9130668096222855,.0977226973587426,.0448877805486284,-.3466334
2022,763,116.5955056179775,.0980579373606061,.9262784106500741,.0701037821959154,.6882399292551977,.7020049977776663,.8106264301020103,.1112499530890424,.212902286296782,.5474006116207946,.7723750148655251,.7803261977573904,.9019420626393935,.1142821693677268,.0471821756225426,-.65006554
2023,791,117.6577777777778,.0939270177313658,.9272452347548429,.0732095678382035,.6908114829571512,.7051963594991301,.8111885186410359,.1118861955713109,.2336704593341767,.5824273072060677,.6466785380774975,.9586318303132457,.9060729822686349,.108041852722172,.0834386852085967,-.89886218
2024,817,116.9012605042017,.0977207465120859,.9249664783718174,.064006664135992,.694208216090065,.7022999564068566,.8308233903103019,.0959930214393182,.2194342445260442,.5615667074663401,.7288424496962027,1.0062559499524,.9022792534879144,.1128455631013546,.0354957160342717,-.62545902
2025,547,115.9171597633136,.0972370107475078,.9298434656168828,.0788140454871386,.6902561081312135,.701111269710427,.8190941903008796,.1064957153513304,.2056672760511878,.5414076782449733,.6318746708605743,1.046110095470242,.9027629892524917,.1152906616571018,.0329067641681901,-1.0146252
2026,69,118.4666666666667,.0858857924768169,.9224155002819391,.0894480244565966,.6819653092290002,.6515031576949476,.8066064019748829,.1166788720989583,.140096618357488,.5304347826086954,.9201597789038616,.756038647342995,.9141142075231826,.0914199876493209,.0579710144927536,-6.826087
