artist_id,name_primary,source_role,source_name,evidence_urls
artist_000048,Ira Louvin,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q13583169|https://en.wikipedia.org/wiki/Ira_Louvin|https://musicbrainz.org/artist/4c5d7f65-8811-40aa-bcc2-fd701d404779
artist_000049,Tyler Braden,primary,Wikidata,https://www.wikidata.org/wiki/Q135991993|https://en.wikipedia.org/wiki/Tyler_Braden|https://musicbrainz.org/artist/aeab76db-be02-47a0-9fa9-f42e33c10954
artist_000049,Tyler Braden,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q135991993|https://en.wikipedia.org/wiki/Tyler_Braden|https://musicbrainz.org/artist/aeab76db-be02-47a0-9fa9-f42e33c10954
artist_000050,Bud Hobbs,primary,Wikidata,https://www.wikidata.org/wiki/Q136131276|https://en.wikipedia.org/wiki/Bud_Hobbs|https://musicbrainz.org/artist/a3f8097f-0e0c-4681-a3a4-7177f441fc43
artist_000050,Bud Hobbs,seed,Category:American country singers,https://www.wikidata.org/wiki/Q136131276|https://en.wikipedia.org/wiki/Bud_Hobbs|https://musicbrainz.org/artist/a3f8097f-0e0c-4681-a3a4-7177f441fc43
artist_000051,Sneaky Pete Kleinow,primary,Wikidata,https://www.wikidata.org/wiki/Q1362348|https://en.wikipedia.org/wiki/Sneaky_Pete_Kleinow|https://musicbrainz.org/artist/f7b1e334-2aaa-4ef2-85f9-5c2c8cdb90dc
artist_000051,Sneaky Pete Kleinow,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q1362348|https://en.wikipedia.org/wiki/Sneaky_Pete_Kleinow|https://musicbrainz.org/artist/f7b1e334-2aaa-4ef2-85f9-5c2c8cdb90dc
artist_000052,Maggie Antone,primary,Wikidata,https://www.wikidata.org/wiki/Q137171060|https://en.wikipedia.org/wiki/Maggie_Antone|https://musicbrainz.org/artist/94557b3a-fd4f-4ea7-b1f0-f2575ab51755
artist_000052,Maggie Antone,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q137171060|https://en.wikipedia.org/wiki/Maggie_Antone|https://musicbrainz.org/artist/94557b3a-fd4f-4ea7-b1f0-f2575ab51755
artist_000053,Guy Clark,primary,Wikidata,https://www.wikidata.org/wiki/Q1386899|https://en.wikipedia.org/wiki/Guy_Clark|https://musicbrainz.org/artist/e885f72e-4617-46de-9454-5485061f29b3
artist_000053,Guy Clark,seed,Category:American country singer-songwriters|Category:Country musicians from Texas,https://www.wikidata.org/wiki/Q1386899|https://en.wikipedia.org/wiki/Guy_Clark|https://musicbrainz.org/artist/e885f72e-4617-46de-9454-5485061f29b3
artist_000054,Floyd Tillman,primary,Wikidata,https://www.wikidata.org/wiki/Q1430397|https://en.wikipedia.org/wiki/Floyd_Tillman|https://musicbrainz.org/artist/99eeb0bb-0591-4254-90db-bd62ee7e20fc
artist_000054,Floyd Tillman,seed,Category:American country singer-songwriters|Category:Country musicians from Texas|Category:Country musicians from Oklahoma,https://www.wikidata.org/wiki/Q1430397|https://en.wikipedia.org/wiki/Floyd_Tillman|https://musicbrainz.org/artist/99eeb0bb-0591-4254-90db-bd62ee7e20fc
artist_000055,Jennifer Day,primary,Wikidata,https://www.wikidata.org/wiki/Q15059517|https://en.wikipedia.org/wiki/Jennifer_Day_(singer)|https://musicbrainz.org/artist/b69916ba-1213-4a44-a9c2-087c8e26f400
artist_000055,Jennifer Day,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q15059517|https://en.wikipedia.org/wiki/Jennifer_Day_(singer)|https://musicbrainz.org/artist/b69916ba-1213-4a44-a9c2-087c8e26f400
